R-Strength,H-Strength,VP,Cities,Dev,Round,Winner
6,12,4,0,2,2,0
20,12,8,3,1,2,1
9,30,5,2,4,3,0
13,12,5,1,3,3,0
6,18,4,0,2,3,0
20,22,8,3,1,3,1
9,52,5,2,4,3,0
13,20,5,1,4,3,0
6,15,4,0,2,3,0
20,18,8,3,1,3,1
9,21,5,2,4,3,0
13,20,5,1,4,3,0
6,21,4,0,2,3,0
20,28,8,3,1,3,1
9,24,5,2,4,3,0
13,4,5,1,5,3,0
6,24,4,0,2,3,0
21,36,9,3,1,3,1
9,30,5,2,4,3,0
13,30,7,1,6,3,0
6,9,4,0,3,3,0
21,15,9,3,1,3,1
9,21,5,2,4,3,0
13,6,8,2,6,3,0
6,1,4,0,3,3,0
21,6,9,3,2,3,1
9,27,5,2,4,3,0
13,2,6,2,6,3,0
6,1,4,0,3,3,0
21,3,9,3,2,3,1
9,12,5,2,4,3,0
13,36,6,2,6,3,0
6,3,4,0,3,3,0
21,6,9,3,3,3,1
9,15,5,2,4,3,0
13,24,6,2,6,3,0
6,2,4,0,3,3,0
21,18,9,3,3,3,1
9,15,5,2,4,3,0
13,10,6,2,6,3,0
6,1,4,0,3,3,0
21,10,9,3,3,3,1
9,8,5,2,4,3,0
13,2,6,2,7,3,0
6,2,4,0,3,3,0
21,28,9,3,3,3,1
9,8,5,2,4,3,0
13,24,6,2,7,3,0
6,3,4,0,3,3,0
21,33,11,3,4,3,1
4,1,2,0,0,3,0
8,12,2,0,0,1,0
9,9,2,0,0,1,1
5,6,2,0,0,1,0
4,1,2,0,0,1,0
8,15,2,0,0,1,0
9,15,2,0,0,1,1
5,6,2,0,0,1,0
4,6,2,0,0,1,0
8,18,2,0,0,1,0
9,18,2,0,0,1,1
5,6,2,0,0,1,0
4,6,2,0,0,1,0
8,15,2,0,0,1,0
9,18,2,0,0,1,1
5,8,2,0,0,1,0
4,8,2,0,0,1,0
8,6,2,0,0,1,0
9,18,2,0,0,1,1
5,12,2,0,0,1,0
4,8,2,0,0,1,0
8,6,2,0,0,1,0
9,8,2,0,0,1,1
5,18,2,0,0,1,0
4,15,2,0,0,1,0
8,4,2,0,0,1,0
9,4,2,0,0,1,1
5,18,2,0,0,1,0
4,12,2,0,0,1,0
8,6,2,0,0,1,0
9,12,2,0,0,1,1
5,12,2,0,0,1,0
4,15,2,0,0,1,0
8,12,2,0,0,1,0
9,15,2,0,0,1,1
5,8,2,0,0,1,0
4,15,2,0,0,1,0
8,21,2,0,0,1,0
9,15,2,0,0,1,1
5,8,2,0,0,1,0
4,15,2,0,0,1,0
8,18,2,0,0,1,0
9,8,3,0,1,1,1
5,4,2,0,0,1,0
4,18,2,0,0,1,0
8,6,2,0,0,1,0
9,18,3,0,1,1,1
5,1,2,0,0,1,0
4,21,2,0,0,1,0
8,4,2,0,0,1,0
9,10,3,0,1,1,1
5,6,2,0,0,1,0
4,21,2,0,0,1,0
8,4,2,0,0,1,0
9,18,3,0,1,1,1
5,2,2,0,0,1,0
4,21,2,0,0,1,0
8,1,2,0,1,1,0
9,21,3,0,1,1,1
5,8,2,0,0,1,0
4,18,4,0,0,1,0
8,20,2,0,1,1,0
9,12,3,0,1,1,1
5,15,2,0,0,1,0
4,21,4,0,0,1,0
8,6,2,0,2,1,0
9,4,3,0,1,1,1
5,18,2,0,0,1,0
4,18,4,0,0,1,0
8,20,2,0,2,1,0
9,6,3,0,1,1,1
5,18,2,0,0,1,0
4,15,4,0,0,1,0
8,9,4,0,3,1,0
9,6,3,0,1,2,1
5,18,2,0,0,2,0
4,15,4,0,0,2,0
8,9,4,0,4,2,0
9,6,3,0,1,2,1
5,15,2,0,0,2,0
4,8,4,0,0,2,0
8,24,4,0,4,2,0
9,6,3,0,1,2,1
5,18,2,0,0,2,0
4,2,4,0,0,2,0
8,18,4,0,4,2,0
9,6,3,0,1,2,1
5,18,2,0,0,2,0
4,1,4,0,0,2,0
8,21,4,0,4,2,0
9,6,3,0,1,2,1
5,20,2,0,0,2,0
4,0,4,0,0,2,0
8,2,4,0,4,2,0
9,6,3,0,1,2,1
5,15,2,0,0,2,0
4,1,4,0,0,2,0
8,4,4,0,4,2,0
9,12,3,0,1,2,1
5,10,2,0,0,2,0
4,1,2,0,0,2,0
8,2,4,0,4,2,0
9,15,5,0,1,2,1
5,8,2,0,0,2,0
4,1,2,0,0,2,0
8,6,4,0,4,2,0
14,8,6,0,1,2,1
5,15,2,0,0,2,0
4,4,2,0,0,2,0
8,15,4,0,4,2,0
14,12,6,0,2,2,1
5,8,2,0,0,2,0
4,6,2,0,0,2,0
8,15,4,0,4,2,0
14,2,6,0,2,2,1
5,8,2,0,0,2,0
4,1,2,0,0,2,0
8,18,4,0,4,2,0
14,1,6,0,2,2,1
5,2,2,0,0,2,0
4,1,2,0,0,2,0
8,6,4,0,4,2,0
14,1,6,0,2,2,1
5,6,2,0,0,2,0
4,1,2,0,0,2,0
8,6,4,0,4,2,0
19,0,7,0,2,2,1
5,15,2,0,0,2,0
4,6,2,0,0,2,0
8,15,4,0,4,2,0
19,2,7,0,2,3,1
5,18,2,0,0,3,0
4,8,2,0,0,3,0
8,8,5,0,5,3,0
19,10,7,0,2,3,1
5,18,2,0,0,3,0
4,8,2,0,0,3,0
8,8,5,0,5,3,0
19,8,7,0,2,3,1
5,18,2,0,0,3,0
4,1,2,0,0,3,0
8,8,5,0,5,3,0
19,15,7,0,2,3,1
5,10,2,0,0,3,0
4,12,2,0,0,3,0
8,9,5,0,5,3,0
19,4,7,0,2,3,1
5,8,2,0,0,3,0
4,15,2,0,0,3,0
8,9,5,0,5,3,0
19,21,7,0,2,3,1
5,15,2,0,0,3,0
4,8,2,0,0,3,0
8,9,5,0,5,3,0
26,20,8,0,2,3,1
5,15,2,0,0,3,0
4,8,2,0,0,3,0
8,8,5,0,6,3,0
30,24,9,0,2,3,1
5,18,2,0,0,3,0
4,8,2,0,0,3,0
8,24,5,0,6,3,0
30,40,9,0,2,3,1
5,18,2,0,0,3,0
4,6,2,0,0,3,0
8,1,5,0,7,3,0
30,56,9,0,2,3,1
5,21,2,0,0,3,0
4,6,2,0,0,3,0
8,4,5,0,7,3,0
30,95,9,0,2,3,1
5,18,2,0,0,3,0
4,15,2,0,0,3,0
8,9,5,0,7,3,0
30,4,9,0,2,3,1
5,21,2,0,0,3,0
4,15,2,0,0,3,0
8,12,5,0,7,3,0
30,28,9,0,2,3,1
5,3,2,0,0,3,0
4,8,2,0,0,3,0
